,year_film,year_award,category,nominee,film
0,1943,1944,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katina Paxinou,For Whom The Bell Tolls
1,1943,1944,Best Performance by an Actor in a Supporting Role in any Motion Picture,Akim Tamiroff,For Whom The Bell Tolls
2,1943,1944,Best Director - Motion Picture,Henry King,The Song Of Bernadette
3,1943,1944,Actress In A Leading Role,Jennifer Jones,The Song Of Bernadette
4,1943,1944,Actor In A Leading Role,Paul Lukas,Watch On The Rhine
5,1944,1945,Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes Moorehead,Mrs. Parkington
6,1944,1945,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Fitzgerald,Going My Way
7,1944,1945,Best Director - Motion Picture,Leo McCarey,Going My Way
8,1944,1945,Actress In A Leading Role,Ingrid Bergman,Gaslight
9,1944,1945,Actor In A Leading Role,Alexander Knox,Wilson
10,1945,1946,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,The Picture of Dorian Gray
11,1945,1946,Best Performance by an Actor in a Supporting Role in any Motion Picture,J. Carroll Naish,A Medal For Benny
12,1945,1946,Best Director - Motion Picture,Billy Wilder,The Lost Weekend
13,1945,1946,Promoting International Understanding,Frank Sinatra,The House I Live In
14,1945,1946,Actress In A Leading Role,Ingrid Bergman,The Bells of St. Mary's
15,1945,1946,Actor In A Leading Role,Ray Milland,The Lost Weekend
16,1946,1947,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Baxter,The Razor's Edge
17,1946,1947,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clifton Webb,The Razor's Edge
18,1946,1947,Best Director - Motion Picture,Frank Capra,It's A Wonderful Life
19,1946,1947,Promoting International Understanding,"Switzerland, Leopold Lindtberg",The Last Chance
20,1946,1947,Actress In A Leading Role,Rosalind Russell,Sister Kenny
21,1946,1947,Actor In A Leading Role,Gregory Peck,The Yearling
22,1947,1948,Best Performance by an Actress in a Supporting Role in any Motion Picture,Celeste Holm,Gentleman's Agreement
23,1947,1948,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Miracle On 34th Street
24,1947,1948,Best Director - Motion Picture,Elia Kazan,Gentleman's Agreement
25,1947,1948,Best Screenplay - Motion Picture,George Seaton,Miracle On 34th Street
26,1947,1948,Best Original Score - Motion Picture,Max Steiner,Life With Father
27,1947,1948,New Star Of The Year - Actress,Lois Maxwell,That Hagen Girl
28,1947,1948,New Star Of The Year - Actor,Richard Widmark,Kiss Of Death
29,1947,1948,Juvenile Performance,Dean Stockwell,Gentleman's Agreement
30,1947,1948,Actress In A Leading Role,Rosalind Russell,Mourning Becomes Electra
31,1947,1948,Actor In A Leading Role,Ronald Colman,A Double Life
32,1947,1948,Cinematography,Jack Cardiff,Black Narcissus
33,1948,1949,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ellen Corby,I Remember Mama
34,1948,1949,Best Performance by an Actor in a Supporting Role in any Motion Picture,Walter Huston,The Treasure of the Sierra Madre
35,1948,1949,Best Director - Motion Picture,John Huston,The Treasure of the Sierra Madre
36,1948,1949,Best Screenplay - Motion Picture,Richard Schweizer,The Search
37,1948,1949,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes
38,1948,1949,Promoting International Understanding,Fred Zinnemann,The Search
39,1948,1949,Juvenile Performance,Ivan Jandl,The Search
40,1948,1949,Actress In A Leading Role,Jane Wyman,Johnny Belinda
41,1948,1949,Actor In A Leading Role,Laurence Olivier,Hamlet (1948)
42,1948,1949,Foreign Film - English Language,"United Kingdom, Laurence Olivier",Hamlet (1948)
43,1948,1949,Cinematography,Gabriel Figueroa,The Pearl
44,1949,1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mercedes McCambridge,All The King's Men
45,1949,1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,James Whitmore,Battleground
46,1949,1950,Best Director - Motion Picture,Robert Rossen,All The King's Men
47,1949,1950,Best Screenplay - Motion Picture,Robert Pirosh,Battleground
48,1949,1950,Best Motion Picture - Foreign Language,The Bicycle Thief,"Italy, Vittorio De Sica"
49,1949,1950,Best Original Score - Motion Picture,Johnny Green,The Inspector General
50,1949,1950,Promoting International Understanding,Vincent Sherman,The Hasty Heart
51,1949,1950,New Star Of The Year - Actress,Mercedes McCambridge,All The King's Men
52,1949,1950,New Star Of The Year - Actor,Richard Todd,The Hasty Heart
53,1949,1950,Actress In A Leading Role,Olivia de Havilland,The Heiress
54,1949,1950,Actor In A Leading Role,Broderick Crawford,All The King's Men
55,1949,1950,Cinematography,Franz F. Planer,Champion
56,1950,1951,Best Performance by an Actress in a Motion Picture - Drama,Gloria Swanson,Sunset Boulevard
57,1950,1951,Best Performance by an Actor in a Motion Picture - Drama,José Ferrer,Cyrano de Bergerac (1950)
58,1950,1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Fred Astaire,Three Little Words
59,1950,1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,Josephine Hull,Harvey
60,1950,1951,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Mister 880
61,1950,1951,Best Director - Motion Picture,Billy Wilder,Sunset Boulevard
62,1950,1951,Best Screenplay - Motion Picture,Joseph L. Mankiewicz,All About Eve
63,1950,1951,Best Original Score - Motion Picture,Franz Waxman,Sunset Boulevard
64,1950,1951,Promoting International Understanding,Delmer Daves,Broken Arrow
65,1950,1951,New Star Of The Year,Gene Nelson,Tea For Two
66,1950,1951,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday
67,1950,1951,Cinematography - Color,Robert L. Surtees,King Solomon's Mines
68,1950,1951,Cinematography - Black And White,Franz F. Planer,Cyrano de Bergerac (1950)
69,1951,1952,Best Performance by an Actress in a Motion Picture - Drama,Jane Wyman,The Blue Veil
70,1951,1952,Best Performance by an Actor in a Motion Picture - Drama,Fredric March,Death of a Salesman (1951)
71,1951,1952,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,On The Riviera
72,1951,1952,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Hunter,A Streetcar Named Desire (1951)
73,1951,1952,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Ustinov,Quo Vadis?
74,1951,1952,Best Director - Motion Picture,Laslo Benedek,Death of a Salesman (1951)
75,1951,1952,Best Screenplay - Motion Picture,Robert Buckner,Bright Victory
76,1951,1952,Best Original Score - Motion Picture,Victor Young,September Affair
77,1951,1952,Promoting International Understanding,Robert Wise,The Day The Earth Stood Still
78,1951,1952,New Star Of The Year - Actress,Pier Angeli,Teresa
79,1951,1952,New Star Of The Year - Actor,Kevin McCarthy,Death of a Salesman (1951)
80,1951,1952,Actress In A Leading Role - Musical Or Comedy,June Allyson,Too Young To Kiss
81,1951,1952,Cinematography - Color,William V. Skall,Quo Vadis?
82,1951,1952,Cinematography - Black And White,Franz F. Planer,Death of a Salesman (1951)
83,1952,1953,Best Performance by an Actress in a Motion Picture - Drama,Shirley Booth,"Come Back, Little Sheba"
84,1952,1953,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,High Noon
85,1952,1953,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Donald O'Connor,Singin' in the Rain
86,1952,1953,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katy Jurado,High Noon
87,1952,1953,Best Performance by an Actor in a Supporting Role in any Motion Picture,Millard Mitchell,My Six Convicts
88,1952,1953,Best Director - Motion Picture,Cecil B. deMille,The Greatest Show On Earth
89,1952,1953,Best Screenplay - Motion Picture,Michael Wilson,5 Fingers
90,1952,1953,Best Original Score - Motion Picture,Dimitri Tiomkin,High Noon
91,1952,1953,Promoting International Understanding,George Seaton,Anything Can Happen
92,1952,1953,New Star Of The Year - Actress,Colette Marchand,Moulin Rouge
93,1952,1953,New Star Of The Year - Actor,Richard Burton,My Cousin Rachel
94,1952,1953,Juvenile Performance,Brandon de Wilde,"Member of the Wedding, The"
95,1952,1953,Actress In A Leading Role - Musical Or Comedy,Susan Hayward,With a Song in My Heart
96,1952,1953,Cinematography - Color,George Barnes,The Greatest Show On Earth
97,1952,1953,Cinematography - Black And White,Floyd Crosby,High Noon
98,1953,1954,Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,Roman Holiday
99,1953,1954,Best Performance by an Actor in a Motion Picture - Drama,Spencer Tracy,"Actress, The"
100,1953,1954,Best Performance by an Actor in a Motion Picture - Musical or Comedy,David Niven,The Moon Is Blue
101,1953,1954,Best Performance by an Actress in a Supporting Role in any Motion Picture,Grace Kelly,Mogambo
102,1953,1954,Best Performance by an Actor in a Supporting Role in any Motion Picture,Frank Sinatra,From Here to Eternity
103,1953,1954,Best Director - Motion Picture,Fred Zinnemann,From Here to Eternity
104,1953,1954,Best Screenplay - Motion Picture,Helen Deutsch,Lili
105,1953,1954,Promoting International Understanding,George Seaton,Little Boy Lost
106,1953,1954,New Star Of The Year - Actress,Pat Crowley,Forever Female
107,1953,1954,New Star Of The Year - Actress,Pat Crowley,Money From Home
108,1953,1954,New Star Of The Year - Actress,Bella Darvi,"Egyptian, The"
109,1953,1954,New Star Of The Year - Actress,Bella Darvi,Hell and High Water
110,1953,1954,New Star Of The Year - Actress,Barbara Rush,It Came From Outer Space
111,1953,1954,New Star Of The Year - Actor,Richard Egan,"Glory Brigade, The"
112,1953,1954,New Star Of The Year - Actor,Richard Egan,"Kid From Left Field, The"
113,1953,1954,New Star Of The Year - Actor,Steve Forrest,So Big
114,1953,1954,New Star Of The Year - Actor,Hugh O'Brian,"Man From The Alamo, The"
115,1953,1954,Actress In A Leading Role - Musical Or Comedy,Ethel Merman,Call Me Madam
116,1954,1955,Best Performance by an Actress in a Motion Picture - Drama,Grace Kelly,"Country Girl, The"
117,1954,1955,Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando,On the Waterfront
118,1954,1955,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Mason,"Star is Born, A (1954)"
119,1954,1955,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jan Sterling,"High and The Mighty, The"
120,1954,1955,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmond O'Brien,"Barefoot Contessa, The"
121,1954,1955,Best Director - Motion Picture,Elia Kazan,On the Waterfront
122,1954,1955,Best Screenplay - Motion Picture,Ernest Lehman,Sabrina
123,1954,1955,Best Motion Picture - Foreign Language,Genevieve,"United Kingdom, Henry Cornelius"
124,1954,1955,Best Motion Picture - Foreign Language,The Lady Of The Camelias,"Argentina, Ernesto Arancibia"
125,1954,1955,Best Motion Picture - Foreign Language,No Way Back,"West Germany, Victor Vicas"
126,1954,1955,Best Motion Picture - Foreign Language,Twenty-Four Eyes,"Japan, Keisuke Kinoshita"
127,1954,1955,Promoting International Understanding,Edward Dmytryk,Broken Lance
128,1954,1955,New Star Of The Year - Actress,Shirley MacLaine,"Trouble With Harry, The"
129,1954,1955,New Star Of The Year - Actress,Kim Novak,Phffft!
130,1954,1955,New Star Of The Year - Actress,Karen Sharpe,"High and The Mighty, The"
131,1954,1955,New Star Of The Year - Actor,Joe Adams,Carmen Jones
132,1954,1955,New Star Of The Year - Actor,George Nader,Four Guns to the Border
133,1954,1955,New Star Of The Year - Actor,Jeff Richards,Seven Brides for Seven Brothers
134,1954,1955,Actress In A Leading Role - Musical Or Comedy,Judy Garland,"Star is Born, A (1954)"
135,1954,1955,Cinematography - Color,Joseph Ruttenberg,Brigadoon
136,1954,1955,Cinematography - Black And White,Boris Kaufman,On the Waterfront
137,1955,1956,Best Performance by an Actress in a Motion Picture - Drama,Anna Magnani,"Rose Tattoo, The"
138,1955,1956,Best Performance by an Actor in a Motion Picture - Drama,Ernest Borgnine,Marty
139,1955,1956,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Ewell,"Seven Year Itch, The"
140,1955,1956,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marisa Pavan,"Rose Tattoo, The"
141,1955,1956,Best Performance by an Actor in a Supporting Role in any Motion Picture,Arthur Kennedy,Trial
142,1955,1956,Best Director - Motion Picture,Joshua Logan,Picnic
143,1955,1956,Best Motion Picture - Foreign Language,Dangerous Curves (UK),United Kingdom
144,1955,1956,Best Motion Picture - Foreign Language,Eyes of Children,"Japan, Yoshirô Kawazu"
145,1955,1956,Best Motion Picture - Foreign Language,"Sons, Mothers And A General","West Germany, Laslo Benedek"
146,1955,1956,Best Motion Picture - Foreign Language,Stella,"Greece, Michael Cacoyannis"
147,1955,1956,Best Motion Picture - Foreign Language,Ordet,"Denmark, Carl Theodor Dreyer"
148,1955,1956,Promoting International Understanding,Henry King,Love Is A Many-Splendored Thing
149,1955,1956,Television Achievement,Desi Arnaz,"American Comedy, The"
150,1955,1956,Television Achievement,Dinah Shore,Walt Disney's Wonderful World of Color (Davy Crockett)
151,1955,1956,New Star Of The Year - Actress,Anita Ekberg,Blood Alley
152,1955,1956,New Star Of The Year - Actress,Victoria Shaw,"Eddy Duchin Story, The"
153,1955,1956,New Star Of The Year - Actress,Dana Wynter,"View From Pompey's Head, The"
154,1955,1956,New Star Of The Year - Actor,Ray Danton,I'll Cry Tomorrow
155,1955,1956,New Star Of The Year - Actor,Russ Tamblyn,Hit The Deck
156,1955,1956,Actress In A Leading Role - Musical Or Comedy,Jean Simmons,Guys and Dolls
157,1956,1957,Best Performance by an Actor in a Motion Picture - Drama,Kirk Douglas,Lust For Life
158,1956,1957,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Around the World in 80 Days
159,1956,1957,Best Performance by an Actress in a Supporting Role in any Motion Picture,Eileen Heckart,"Bad Seed, The"
160,1956,1957,Best Performance by an Actor in a Supporting Role in any Motion Picture,Earl Holliman,"Rainmaker, The"
161,1956,1957,Best Director - Motion Picture,Elia Kazan,Baby Doll
162,1956,1957,Promoting International Understanding,Douglas Sirk,Battle Hymn
163,1956,1957,New Star Of The Year - Actress,Carroll Baker,Baby Doll
164,1956,1957,New Star Of The Year - Actress,Carroll Baker,Giant
165,1956,1957,New Star Of The Year - Actress,Jayne Mansfield,"Girl Can't Help It, The"
166,1956,1957,New Star Of The Year - Actress,Natalie Wood,Rebel Without a Cause
167,1956,1957,New Star Of The Year - Actor,John Kerr,Tea and Sympathy
168,1956,1957,New Star Of The Year - Actor,Paul Newman,"Silver Chalice, The"
169,1956,1957,New Star Of The Year - Actor,Anthony Perkins,Friendly Persuasion
170,1956,1957,Actress In A Leading Role - Musical Or Comedy,Deborah Kerr,"King and I, The"
171,1956,1957,Foreign Film - Foreign Language,"West Germany, Gottfried Reinhardt",Before Sundown
172,1956,1957,Foreign Film - Foreign Language,"Greece, Michael Cacoyannis",A Girl In Black
173,1956,1957,Foreign Film - Foreign Language,"Japan, Keisuke Kinoshita",The Rose On His Arm
174,1956,1957,Foreign Film - Foreign Language,"Italy, King Vidor",War and Peace
175,1956,1957,Foreign Film - Foreign Language,"Finland, Erik Blomberg",The White Reindeer
176,1956,1957,Foreign Film - English Language,"United Kingdom, Laurence Olivier",Richard III  (1955)
177,1957,1958,Best Performance by an Actress in a Motion Picture - Drama,Joanne Woodward,"Three Faces of Eve, The"
178,1957,1958,Best Performance by an Actor in a Motion Picture - Drama,Alec Guinness,"Bridge on the River Kwai, The"
179,1957,1958,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Frank Sinatra,Pal Joey
180,1957,1958,Best Performance by an Actress in a Supporting Role in any Motion Picture,Elsa Lanchester,Witness for the Prosecution
181,1957,1958,Best Performance by an Actor in a Supporting Role in any Motion Picture,Red Buttons,Sayonara
182,1957,1958,Best Director - Motion Picture,David Lean,"Bridge on the River Kwai, The"
183,1957,1958,Promoting International Understanding,Gene Kelly,"Happy Road, The"
184,1957,1958,New Star Of The Year - Actress,Sandra Dee,Until They Sail
185,1957,1958,New Star Of The Year - Actress,Diane Varsi,Peyton Place
186,1957,1958,New Star Of The Year - Actor,James Garner,Sayonara
187,1957,1958,New Star Of The Year - Actor,John Saxon,This Happy Feeling
188,1957,1958,New Star Of The Year - Actor,Patrick Wayne,The Searchers
189,1957,1958,Actress In A Leading Role - Musical Or Comedy,Taina Elg,Les Girls
190,1957,1958,Actress In A Leading Role - Musical Or Comedy,Kay Kendall,Les Girls
191,1957,1958,Foreign Film - Foreign Language,"West Germany, Kurt Hoffmann",Confessions Of Felix Krull
192,1957,1958,Foreign Film - Foreign Language,"Mexico, Ismael Rodríguez",Tizoc
193,1957,1958,Foreign Film - Foreign Language,"Japan, Heinosuke Gosho",Kiiroi karasu (Yellow Crow)
194,1957,1958,Foreign Film - English Language,"United Kingdom, J. Lee Thompson",Woman In A Dressing Gown
195,1958,1959,Best Performance by an Actress in a Motion Picture - Drama,Susan Hayward,I Want To Live!
196,1958,1959,Best Performance by an Actor in a Motion Picture - Drama,David Niven,Separate Tables
197,1958,1959,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,Me and the Colonel
198,1958,1959,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hermione Gingold,Gigi
199,1958,1959,Best Performance by an Actor in a Supporting Role in any Motion Picture,Burl Ives,"Big Country, The"
200,1958,1959,Best Director - Motion Picture,Vincente Minnelli,Gigi
201,1958,1959,Promoting International Understanding,Mark Robson,"Inn of the Sixth Happiness, The"
202,1958,1959,Samuel Goldwyn International Award,"India, V. Shantaram","Do Ankhen Barah Haath (Two Eyes, Twelve Hands)"
203,1958,1959,New Star Of The Year - Actress,Linda Cristal,The Perfect Furlough
204,1958,1959,New Star Of The Year - Actress,Susan Kohner,"Gene Krupa Story, The"
205,1958,1959,New Star Of The Year - Actress,Tina Louise,God's Little Acre
206,1958,1959,New Star Of The Year - Actor,Bradford Dillman,In Love and War - 1958
207,1958,1959,New Star Of The Year - Actor,John Gavin,"Time to Love and a Time to Die, A"
208,1958,1959,New Star Of The Year - Actor,Efrem Zimbalist Jr.,"Too Much, Too Soon"
209,1958,1959,Juvenile Performance,David Ladd,"Proud Rebel, The"
210,1958,1959,Actress In A Leading Role - Musical Or Comedy,Rosalind Russell,Auntie Mame
211,1958,1959,Foreign Film - Foreign Language,"West Germany, Rolf Thiele",Rosemary
212,1958,1959,Foreign Film - Foreign Language,"Italy, Yugoslavia, Giuseppe De Santis",The Year Long Road
213,1958,1959,Foreign Film - Foreign Language,"France, François Villiers",L'eau vive (Girl And The River)
214,1958,1959,Foreign Film - English Language,"United Kingdom, Roy Ward Baker",A Night To Remember
215,1959,1960,Best Performance by an Actress in a Motion Picture - Drama,Elizabeth Taylor,"Suddenly, Last Summer"
216,1959,1960,Best Performance by an Actor in a Motion Picture - Drama,Anthony Franciosa,Career
217,1959,1960,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Lemmon,Some Like It Hot
218,1959,1960,Best Performance by an Actress in a Supporting Role in any Motion Picture,Susan Kohner,Imitation of Life
219,1959,1960,Best Performance by an Actor in a Supporting Role in any Motion Picture,Stephen Boyd,Ben-Hur
220,1959,1960,Best Director - Motion Picture,William Wyler,Ben-Hur
221,1959,1960,Best Original Score - Motion Picture,Ernest Gold,On The Beach
222,1959,1960,Promoting International Understanding,George Stevens,"Diary of Anne Frank, The"
223,1959,1960,Television Achievement,Edward R. Murrow,77 Sunset Strip
224,1959,1960,Samuel Goldwyn International Award,"United Kingdom, Jack Clayton",Room At The Top
225,1959,1960,New Star Of The Year - Actress,Janet Munro,Darby O'Gill and The Little People
226,1959,1960,New Star Of The Year - Actress,Stella Stevens,Say One For Me
227,1959,1960,New Star Of The Year - Actress,Tuesday Weld,"Five Pennies, The"
228,1959,1960,New Star Of The Year - Actress,Angie Dickinson,Rio Bravo
229,1959,1960,New Star Of The Year - Actor,James Shigeta,"Crimson Kimono, The"
230,1959,1960,New Star Of The Year - Actor,Barry Coe,"Private's Affair, A"
231,1959,1960,New Star Of The Year - Actor,Troy Donahue,"Summer Place, A"
232,1959,1960,New Star Of The Year - Actor,George Hamilton,"Crime & Punishment, USA"
233,1959,1960,Actress In A Leading Role - Musical Or Comedy,Marilyn Monroe,Some Like It Hot
234,1959,1960,Foreign Film - Foreign Language,"West Germany, Kurt Hoffmann",Wir Wunderkinder (Aren't We Wonderful!)
235,1959,1960,Foreign Film - Foreign Language,"France, Marcel Camus",Black Orpheus
236,1959,1960,Foreign Film - Foreign Language,"West Germany, Bernhard Wicki",The Bridge
237,1959,1960,Foreign Film - Foreign Language,"Japan, Kon Ichikawa",Odd Obsession
238,1959,1960,Foreign Film - Foreign Language,"Sweden, Ingmar Bergman",Wild Strawberries
239,1960,1961,Best Performance by an Actress in a Motion Picture - Drama,Greer Garson,Sunrise at Campobello
240,1960,1961,Best Performance by an Actor in a Motion Picture - Drama,Burt Lancaster,Elmer Gantry
241,1960,1961,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Lemmon,"Apartment, The"
242,1960,1961,Best Performance by an Actress in a Supporting Role in any Motion Picture,Janet Leigh,Psycho
243,1960,1961,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sal Mineo,Exodus
244,1960,1961,Best Director - Motion Picture,Jack Cardiff,Sons and Lovers
245,1960,1961,Best Original Score - Motion Picture,Dimitri Tiomkin,The Alamo
246,1960,1961,Promoting International Understanding,Philip Leacock,Hand In Hand
247,1960,1961,Television Achievement,William Hanna,Bell Telephone Hour
248,1960,1961,Television Achievement,Walter Cronkite,Perry Mason
249,1960,1961,Samuel Goldwyn International Award,"Greece, Jules Dassin",Never On Sunday
250,1960,1961,New Star Of The Year - Actress,Ina Balin,From The Terrace
251,1960,1961,New Star Of The Year - Actress,Nancy Kwan,The World Of Suzie Wong
252,1960,1961,New Star Of The Year - Actress,Hayley Mills,Pollyanna
253,1960,1961,New Star Of The Year - Actor,Michael Callan,Because They're Young
254,1960,1961,New Star Of The Year - Actor,Mark Damon,House of Usher
255,1960,1961,New Star Of The Year - Actor,Brett Halsey,Desire In The Dust
256,1960,1961,Actress In A Leading Role - Musical Or Comedy,Shirley MacLaine,"Apartment, The"
257,1960,1961,Foreign Film - Foreign Language,"France, Henri-Georges Clouzot",La vérité (The Truth)
258,1960,1961,Foreign Film - Foreign Language,"Sweden, Ingmar Bergman",The Virgin Spring
259,1960,1961,Foreign Film - English Language,"United Kingdom, Ken Hughes",The Trials Of Oscar Wilde (The Man With The Green Carnation)
260,1961,1962,Best Performance by an Actress in a Motion Picture - Drama,Geraldine Page,Summer and Smoke
261,1961,1962,Best Performance by an Actor in a Motion Picture - Drama,Maximilian Schell,Judgment at Nuremberg
262,1961,1962,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Glenn Ford,Pocketful of Miracles
263,1961,1962,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rita Moreno,West Side Story
264,1961,1962,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Chakiris,West Side Story
265,1961,1962,Best Director - Motion Picture,Stanley Kramer,Judgment at Nuremberg
266,1961,1962,Best Original Score - Motion Picture,Dimitri Tiomkin,The Guns Of Navarone
267,1961,1962,Best Original Song - Motion Picture,"Town Without Pity, Dimitri Tiomkin, Ned Washington",Town Without Pity
268,1961,1962,Promoting International Understanding,Mervyn LeRoy,A Majority Of One
269,1961,1962,Samuel Goldwyn International Award,"United Kingdom, Guy Green",The Mark
270,1961,1962,New Star Of The Year - Actress,Ann-Margret,Pocketful of Miracles
271,1961,1962,New Star Of The Year - Actress,Jane Fonda,Tall Story
272,1961,1962,New Star Of The Year - Actress,Christine Kaufmann,Town Without Pity
273,1961,1962,New Star Of The Year - Actor,Warren Beatty,Splendor in the Grass
274,1961,1962,New Star Of The Year - Actor,Bobby Darin,Come September
275,1961,1962,Actress In A Leading Role - Musical Or Comedy,Rosalind Russell,A Majority Of One
276,1961,1962,Foreign Film - Foreign Language,"Italy, Vittorio De Sica",Two Women
277,1962,1963,Best Performance by an Actress in a Motion Picture - Drama,Geraldine Page,Sweet Bird of Youth
278,1962,1963,Best Performance by an Actor in a Motion Picture - Drama,Gregory Peck,To Kill A Mockingbird
279,1962,1963,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Marcello Mastroianni,"Divorce, Italian Style"
280,1962,1963,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,"Manchurian Candidate, The"
281,1962,1963,Best Performance by an Actor in a Supporting Role in any Motion Picture,Omar Sharif,Lawrence Of Arabia
282,1962,1963,Best Director - Motion Picture,David Lean,Lawrence Of Arabia
283,1962,1963,Best Original Score - Motion Picture,Elmer Bernstein,To Kill A Mockingbird
284,1962,1963,Promoting International Understanding,Robert Mulligan,To Kill A Mockingbird
285,1962,1963,Samuel Goldwyn International Award,"France, Serge Bourguignon",Sundays and Cybèle
286,1962,1963,New Star Of The Year - Actress,Patty Duke,"Miracle Worker, The"
287,1962,1963,New Star Of The Year - Actress,Sue Lyon,Lolita
288,1962,1963,New Star Of The Year - Actress,Rita Tushingham,"Taste of Honey, A"
289,1962,1963,New Star Of The Year - Actor,Omar Sharif,Lawrence Of Arabia
290,1962,1963,New Star Of The Year - Actor,Terence Stamp,Billy Budd
291,1962,1963,New Star Of The Year - Actor,Keir Dullea,David and Lisa
292,1962,1963,New Star Of The Year - Actor,Peter O'Toole,Lawrence Of Arabia
293,1962,1963,Television Producer/Director,Rod Serling,"Twilight Zone, The"
294,1962,1963,Actress In A Leading Role - Musical Or Comedy,Rosalind Russell,Gypsy
295,1962,1963,Actor In A Television Series,Richard Chamberlain,Dr. Kildare
296,1962,1963,Foreign Film - Foreign Language,"Italy, Pietro Germi","Divorce, Italian Style"
297,1962,1963,Cinematography - Color,Fred A. Young,Lawrence Of Arabia
298,1962,1963,Actress In A Television Series,Donna Reed,"Donna Reed Show, The"
299,1962,1963,Cinematography - Black And White,Jean Bourgoin,"Longest Day, The"
300,1963,1964,Best Performance by an Actress in a Motion Picture - Drama,Leslie Caron,"L-Shaped Room, The"
301,1963,1964,Best Performance by an Actor in a Motion Picture - Drama,Sidney Poitier,Lilies of the Field
302,1963,1964,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Alberto Sordi,To Bed Or Not To Bed
303,1963,1964,Best Performance by an Actress in a Supporting Role in any Motion Picture,Margaret Rutherford,"V. I. P.'s, The"
304,1963,1964,Best Performance by an Actress in a Supporting Role in any Motion Picture,Edmond O'Brien,Seven Days In May
305,1963,1964,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Huston,"Cardinal, The"
306,1963,1964,Best Director - Motion Picture,Elia Kazan,"America, America"
307,1963,1964,Promoting International Understanding,Ralph Nelson,Lilies of the Field
308,1963,1964,Samuel Goldwyn International Award,"Italy, Vittorio De Sica","Yesterday, Today and Tomorrow"
309,1963,1964,New Star Of The Year - Actress,Ursula Andress,Dr. No
310,1963,1964,New Star Of The Year - Actress,Tippi Hedren,"Birds, The"
311,1963,1964,New Star Of The Year - Actress,Elke Sommer,"Prize, The"
312,1963,1964,New Star Of The Year - Actor,Albert Finney,Tom Jones
313,1963,1964,New Star Of The Year - Actor,Stathis Giallelis,"America, America"
314,1963,1964,New Star Of The Year - Actor,Robert Walker Jr.,"Ceremony, The"
315,1963,1964,Actress In A Leading Role - Musical Or Comedy,Shirley MacLaine,Irma La Douce
316,1963,1964,Actor In A Television Series,Mickey Rooney,Mickey
317,1963,1964,Foreign Film - Foreign Language,"France, Italy, Henri Verneuil",Any Number Can Win
318,1963,1964,Actress In A Television Series,Inger Stevens,"Farmer's Daughter, The"
319,1964,1965,Best Performance by an Actress in a Motion Picture - Drama,Anne Bancroft,"Pumpkin Eater, The"
320,1964,1965,Best Performance by an Actor in a Motion Picture - Drama,Peter O'Toole,Becket
321,1964,1965,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rex Harrison,My Fair Lady
