,year_film,year_award,category,nominee,film
997,1998,1999,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Don Cheadle,"Rat Pack, The"
998,1998,1999,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gregory Peck,Moby Dick
999,1999,2000,Best Performance by an Actress in a Motion Picture - Drama,Hilary Swank,Boys Don't Cry
1000,1999,2000,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,"Hurricane, The"
1001,1999,2000,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Janet McTeer,Tumbleweeds
1002,1999,2000,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jim Carrey,Man on the Moon
1003,1999,2000,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angelina Jolie,"Girl, Interrupted"
1004,1999,2000,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Cruise,Magnolia
1005,1999,2000,Best Director - Motion Picture,Sam Mendes,American Beauty
1006,1999,2000,Best Screenplay - Motion Picture,Alan Ball,American Beauty
1007,1999,2000,Best Motion Picture - Foreign Language,All About My Mother,"Spain, Pedro Almodóvar"
1008,1999,2000,Best Original Score - Motion Picture,Ennio Morricone,The Legend of 1900
1009,1999,2000,Best Original Song - Motion Picture,"""You'll Be In My Heart"", Phil Collins",Tarzan
1010,1999,2000,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Halle Berry,Introducing Dorothy Dandridge
1011,1999,2000,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jack Lemmon,Inherit the Wind (TV - 1999)
1012,1999,2000,Best Performance by an Actress In A Television Series - Drama,Edie Falco,"Sopranos, The"
1013,1999,2000,Best Performance by an Actor In A Television Series - Drama,James Gandolfini,"Sopranos, The"
1014,1999,2000,Best Performance by an Actress in a Television Series - Musical or Comedy,Sarah Jessica Parker,Sex and The City
1015,1999,2000,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael J. Fox,Spin City
1016,1999,2000,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Nancy Marchand,"Sopranos, The"
1017,1999,2000,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Peter Fonda,"Passion of Ayn Rand, The"
1018,2000,2001,Best Performance by an Actress in a Motion Picture - Drama,Julia Roberts,Erin Brockovich
1019,2000,2001,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Cast Away
1020,2000,2001,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Renée Zellweger,Nurse Betty
1021,2000,2001,Best Performance by an Actor in a Motion Picture - Musical or Comedy,George Clooney,"O Brother, Where Art Thou?"
1022,2000,2001,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Hudson,Almost Famous
1023,2000,2001,Best Performance by an Actor in a Supporting Role in any Motion Picture,Benicio del Toro,Traffic
1024,2000,2001,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon"
1025,2000,2001,Best Screenplay - Motion Picture,Stephen Gaghan,Traffic
1026,2000,2001,Best Motion Picture - Foreign Language,"Crouching Tiger, Hidden Dragon","Taiwan, Ang Lee, Li-Kong Hsu, William Kong"
1027,2000,2001,Best Original Score - Motion Picture,Lisa Gerrard,Gladiator
1028,2000,2001,Best Original Score - Motion Picture,Hans Zimmer,Gladiator
1029,2000,2001,Best Original Song - Motion Picture,"""Things Have Changed"", Bob Dylan",Wonder Boys
1030,2000,2001,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Judi Dench,"Last of the Blonde Bombshells, The"
1031,2000,2001,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Brian Dennehy,Arthur Miller's Death Of a Salesman
1032,2000,2001,Best Performance by an Actress In A Television Series - Drama,Sela Ward,Once and Again
1033,2000,2001,Best Performance by an Actor In A Television Series - Drama,Rob Lowe,"West Wing, The"
1034,2000,2001,Best Performance by an Actor In A Television Series - Drama,Martin Sheen,"West Wing, The"
1035,2000,2001,Best Performance by an Actress in a Television Series - Musical or Comedy,Sarah Jessica Parker,Sex and The City
1036,2000,2001,Best Performance by an Actor in a Television Series - Musical or Comedy,Kelsey Grammer,Frasier
1037,2000,2001,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Vanessa Redgrave,If These Walls Could Talk 2
1038,2000,2001,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Robert Downey Jr.,Ally McBeal
1039,2001,2002,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,In the Bedroom
1040,2001,2002,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,A Beautiful Mind
1041,2001,2002,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nicole Kidman,Moulin Rouge!
1042,2001,2002,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Hackman,"Royal Tenenbaums, The"
1043,2001,2002,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Connelly,A Beautiful Mind
1044,2001,2002,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jim Broadbent,Iris
1045,2001,2002,Best Director - Motion Picture,Robert Altman,Gosford Park
1046,2001,2002,Best Screenplay - Motion Picture,Akiva Goldsman,A Beautiful Mind
1047,2001,2002,Best Motion Picture - Foreign Language,No Man's Land,"Bosnia & Herzegovina, Danis Tanovic"
1048,2001,2002,Best Original Score - Motion Picture,Craig Armstrong,Moulin Rouge!
1049,2001,2002,Best Original Song - Motion Picture,"""Until…"", Sting",Kate & Leopold
1050,2001,2002,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Judy Davis,Life With Judy Garland: Me & My Shadows
1051,2001,2002,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Franco,James Dean
1052,2001,2002,Best Performance by an Actress In A Television Series - Drama,Jennifer Garner,Alias
1053,2001,2002,Best Performance by an Actor In A Television Series - Drama,Kiefer Sutherland,24
1054,2001,2002,Best Performance by an Actress in a Television Series - Musical or Comedy,Sarah Jessica Parker,Sex and The City
1055,2001,2002,Best Performance by an Actor in a Television Series - Musical or Comedy,Charlie Sheen,Spin City
1056,2001,2002,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rachel Griffiths,Six Feet Under
1057,2001,2002,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Stanley Tucci,Conspiracy
1058,2002,2003,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,The Hours
1059,2002,2003,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,About Schmidt
