,imdb_id,movie_title,year_released,genre,country,avg_vote,worldwide_gross_income,reviews_from_users,reviews_from_critics
74417,tt4337194,J. Kessels,2015,"Adventure, Comedy, Drama",Netherlands,5.8,"$84,054",3.0,9.0
74418,tt4337414,Gopala Gopala,2015,"Comedy, Drama, Fantasy",India,7.3,INR 660100000,22.0,5.0
74419,tt4337690,90 minuti in Paradiso,2015,Drama,USA,4.8,"$4,842,699",44.0,17.0
74423,tt4338434,A Month of Sundays,2015,"Comedy, Drama",Australia,6.0,"$654,116",8.0,19.0
74424,tt4340072,3 Lives,2019,Thriller,Germany,3.2,"$13,378",11.0,16.0
74426,tt4340720,Echo Effect,2015,"Action, Thriller",USA,3.5,"$49,286",25.0,13.0
74428,tt4341582,Queen of Katwe,2016,"Biography, Drama, Sport",USA,7.4,"$10,367,161",76.0,145.0
74429,tt4341806,El Bosque de Karadima,2015,Drama,"Chile, Argentina",7.0,"$1,364,263",3.0,6.0
74431,tt4342506,Son Mektup,2015,"Action, Drama, History",Turkey,4.6,"$2,241,575",8.0,2.0
74434,tt4344878,Zhong fan 20 sui,2015,"Comedy, Fantasy, Music","China, South Korea",6.6,"$59,396,311",4.0,5.0
74438,tt4351548,Bomb City - I giorni della rabbia,2017,"Crime, Drama",USA,6.8,"$59,329",58.0,50.0
74440,tt4352408,David and Goliath,2016,"Action, Adventure, Drama",USA,3.0,"$1,598",17.0,2.0
74441,tt4353250,The Last Black Man in San Francisco,2019,Drama,USA,7.4,"$4,607,017",124.0,117.0
74443,tt4354756,The Wave,2019,"Sci-Fi, Thriller",USA,6.0,"$8,101",43.0,44.0
74447,tt4356480,Quello che veramente importa,2016,"Comedy, Drama, Family","Spain, Canada, USA",6.3,"$9,979,800",79.0,13.0
74448,tt4357170,A la mala,2015,Comedy,Mexico,6.3,"$3,646,627",8.0,11.0
74449,tt4357368,Il condominio dei cuori infranti,2015,"Comedy, Drama",France,7.1,"$880,180",6.0,35.0
74451,tt4357714,The Sex Trip,2016,"Comedy, Fantasy",USA,4.1,"$14,178",7.0,2.0
74457,tt4359416,Taxi Teheran,2015,"Comedy, Drama",Iran,7.3,"$3,906,227",34.0,209.0
74459,tt4360406,Pinku to gurê,2015,"Drama, Mystery",Japan,6.6,"$4,215,944",2.0,5.0
74461,tt4361050,Ouija: L'origine del male,2016,"Drama, Horror, Mystery",USA,6.1,"$81,705,746",188.0,230.0
74463,tt4362646,Golden Years,2016,"Action, Comedy, Crime",UK,6.1,"$257,095",13.0,26.0
74465,tt4363250,Lost in the Pacific,2016,"Adventure, Sci-Fi, Thriller","China, Malaysia",4.1,"$5,368,535",36.0,11.0
74468,tt4364194,In viaggio verso un sogno - The Peanut Butter Falcon,2019,"Comedy, Drama",USA,7.6,"$23,620,709",423.0,212.0
74472,tt4365518,La tempesta di sabbia,2016,Drama,"Israel, Germany, France",6.8,"$414,698",18.0,39.0
74473,tt4365566,Ghost House,2017,"Horror, Thriller","Thailand, USA",4.7,"$1,004,155",60.0,28.0
74475,tt4368038,Everesuto: Kamigami no itadaki,2016,Drama,Japan,5.8,"$9,901,480",1.0,2.0
74484,tt4370784,Agnus Dei,2016,"Drama, History","France, Poland",7.3,"$7,400,324",37.0,100.0
74485,tt4371680,Icaros: A Vision,2016,Drama,"Peru, USA",6.0,"$5,510",2.0,9.0
74488,tt4372390,Detour - Fuori controllo,2016,"Action, Thriller","UK, South Africa, United Arab Emirates",6.2,"$1,788",32.0,57.0
74489,tt4372736,Because of Grácia,2017,"Comedy, Drama, Romance",USA,6.3,"$90,878",6.0,4.0
74495,tt4373956,Tereddüt,2016,Drama,"Turkey, France, Germany, Poland",6.5,"$49,667",3.0,16.0
74498,tt4374286,Mulgoe,2018,"Action, Fantasy, Horror",South Korea,6.0,"$5,247,503",11.0,36.0
74499,tt4374460,Aferim!,2015,"Adventure, Comedy, Drama","Romania, Bulgaria, Czech Republic, France",7.6,"$350,110",20.0,95.0
74503,tt4375114,Klub wlóczykijów,2015,"Adventure, Comedy, Family",Poland,5.7,"$202,045",1.0,1.0
74505,tt4375438,Il club,2015,"Comedy, Drama, Mystery",Chile,7.2,"$541,515",18.0,167.0
74508,tt4377952,Zinzana,2015,"Crime, Drama, Thriller","United Arab Emirates, Jordan",6.7,"$89,983",8.0,18.0
74509,tt4378066,Cerca de tu casa,2016,"Drama, Musical",Spain,6.2,"$73,021",2.0,5.0
74513,tt4379180,Enragés,2015,"Action, Drama, Thriller","France, Canada",5.8,"$254,303",11.0,53.0
74515,tt4379536,Slam - Tutto per una ragazza,2016,"Comedy, Drama, Romance",Italy,6.1,"$163,771",4.0,9.0
